sample_id,condition,dataset
SRX7966038,Psoriasis,GSE147339
SRX7966041,Psoriasis,GSE147339
SRX7966043,Psoriasis,GSE147339
SRX7966044,Psoriasis,GSE147339
SRX7966045,Psoriasis,GSE147339
SRX7966046,Psoriasis,GSE147339
SRX7966047,Psoriasis,GSE147339
SRX7966048,Psoriasis,GSE147339
SRX7966050,Psoriasis,GSE147339
SRX7966056,Psoriasis,GSE147339
SRX7966037,Healthy,GSE147339
SRX7966039,Healthy,GSE147339
SRX7966040,Healthy,GSE147339
SRX7966042,Healthy,GSE147339
SRX7966049,Healthy,GSE147339
SRX7966051,Healthy,GSE147339
SRX7966052,Healthy,GSE147339
SRX7966053,Healthy,GSE147339
SRX7966054,Healthy,GSE147339
SRX7966055,Healthy,GSE147339
